name,ensembl_id,description,biotype,species,external_url
AASDHPPT,ENSG00000149313,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000149313
AATF,ENSG00000275700,apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000275700
ABAT,ENSG00000183044,4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000183044
ABCA11P,ENSG00000251595,"ATP binding cassette subfamily A member 11, pseudogene [Source:HGNC Symbol;Acc:HGNC:31]",transcribed_processed_pseudogene,homo_sapiens,https://www.ensembl.org/id/ENSG00000251595
ABCA3,ENSG00000167972,ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000167972
ABCA8,ENSG00000141338,ATP binding cassette subfamily A member 8 [Source:HGNC Symbol;Acc:HGNC:38],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000141338
ABCA9,ENSG00000154258,ATP binding cassette subfamily A member 9 [Source:HGNC Symbol;Acc:HGNC:39],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000154258
ABCB5,ENSG00000004846,ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000004846
ABCB6,ENSG00000115657,ATP binding cassette subfamily B member 6 (LAN blood group) [Source:HGNC Symbol;Acc:HGNC:47],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000115657
ABCB8,ENSG00000197150,ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000197150
ABCB9,ENSG00000150967,ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000150967
ABCC11,ENSG00000121270,ATP binding cassette subfamily C member 11 [Source:HGNC Symbol;Acc:HGNC:14639],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000121270
ABCD3,ENSG00000117528,ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000117528
ABCE1,ENSG00000164163,ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000164163
ABCF2,ENSG00000033050,ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000033050
ABCF3,ENSG00000161204,ATP binding cassette subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:72],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000161204
ABCG8,ENSG00000143921,ATP binding cassette subfamily G member 8 [Source:HGNC Symbol;Acc:HGNC:13887],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000143921
ABHD10,ENSG00000144827,"abhydrolase domain containing 10, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:25656]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000144827
ABHD11,ENSG00000106077,abhydrolase domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16407],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000106077
ABHD12,ENSG00000100997,"abhydrolase domain containing 12, lysophospholipase [Source:HGNC Symbol;Acc:HGNC:15868]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000100997
ABHD12B,ENSG00000131969,abhydrolase domain containing 12B [Source:HGNC Symbol;Acc:HGNC:19837],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000131969
ABHD13,ENSG00000139826,abhydrolase domain containing 13 [Source:HGNC Symbol;Acc:HGNC:20293],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000139826
ABHD14A,ENSG00000248487,abhydrolase domain containing 14A [Source:HGNC Symbol;Acc:HGNC:24538],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000248487
ABHD14B,ENSG00000114779,abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:HGNC:28235],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000114779
ABHD15,ENSG00000168792,abhydrolase domain containing 15 [Source:HGNC Symbol;Acc:HGNC:26971],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000168792
ABHD16A,ENSG00000204427,"abhydrolase domain containing 16A, phospholipase [Source:HGNC Symbol;Acc:HGNC:13921]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000204427
ABHD17A,ENSG00000129968,"abhydrolase domain containing 17A, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:28756]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000129968
ABHD17B,ENSG00000107362,"abhydrolase domain containing 17B, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:24278]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000107362
ABHD18,ENSG00000164074,abhydrolase domain containing 18 [Source:HGNC Symbol;Acc:HGNC:26111],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000164074
ABHD4,ENSG00000100439,"abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000100439
ABHD5,ENSG00000011198,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000011198
ABHD8,ENSG00000127220,abhydrolase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23759],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000127220
ABI1,ENSG00000136754,abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000136754
ABI2,ENSG00000138443,abl interactor 2 [Source:HGNC Symbol;Acc:HGNC:24011],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000138443
ABI3,ENSG00000108798,ABI family member 3 [Source:HGNC Symbol;Acc:HGNC:29859],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000108798
ABI3BP,ENSG00000154175,ABI family member 3 binding protein [Source:HGNC Symbol;Acc:HGNC:17265],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000154175
ABITRAM,ENSG00000119328,actin binding transcription modulator [Source:HGNC Symbol;Acc:HGNC:1364],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000119328
ABL1,ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000097007
ABL2,ENSG00000143322,"ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000143322
ABLIM1,ENSG00000099204,actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000099204
ABLIM2,ENSG00000163995,actin binding LIM protein family member 2 [Source:HGNC Symbol;Acc:HGNC:19195],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000163995
ABLIM3,ENSG00000173210,actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000173210
ABO,ENSG00000175164,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:79]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000175164
ABRACL,ENSG00000146386,ABRA C-terminal like [Source:HGNC Symbol;Acc:HGNC:21230],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000146386
ABRAXAS1,ENSG00000163322,"abraxas 1, BRCA1 A complex subunit [Source:HGNC Symbol;Acc:HGNC:25829]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000163322
ABRAXAS2,ENSG00000165660,"abraxas 2, BRISC complex subunit [Source:HGNC Symbol;Acc:HGNC:28975]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000165660
ABT1,ENSG00000146109,activator of basal transcription 1 [Source:HGNC Symbol;Acc:HGNC:17369],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000146109
ABTB1,ENSG00000114626,ankyrin repeat and BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18275],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000114626
ABTB2,ENSG00000166016,ankyrin repeat and BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23842],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000166016
ACAA1,ENSG00000060971,acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000060971
ACAA2,ENSG00000167315,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000167315
ACAD10,ENSG00000111271,acyl-CoA dehydrogenase family member 10 [Source:HGNC Symbol;Acc:HGNC:21597],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000111271
ACAD11,ENSG00000240303,acyl-CoA dehydrogenase family member 11 [Source:HGNC Symbol;Acc:HGNC:30211],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000240303
ACAD9,ENSG00000177646,acyl-CoA dehydrogenase family member 9 [Source:HGNC Symbol;Acc:HGNC:21497],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000177646
ACADS,ENSG00000122971,acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000122971
ACADVL,ENSG00000072778,acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000072778
ACAP3,ENSG00000131584,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000131584
ACAT1,ENSG00000075239,acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000075239
ACAT2,ENSG00000120437,acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000120437
ACBD4,ENSG00000181513,acyl-CoA binding domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23337],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000181513
ACBD5,ENSG00000107897,acyl-CoA binding domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23338],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000107897
ACBD6,ENSG00000230124,acyl-CoA binding domain containing 6 [Source:HGNC Symbol;Acc:HGNC:23339],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000230124
ACBD7,ENSG00000176244,acyl-CoA binding domain containing 7 [Source:HGNC Symbol;Acc:HGNC:17715],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000176244
ACCS,ENSG00000110455,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) [Source:HGNC Symbol;Acc:HGNC:23989],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000110455
ACD,ENSG00000102977,ACD shelterin complex subunit and telomerase recruitment factor [Source:HGNC Symbol;Acc:HGNC:25070],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000102977
ACER1,ENSG00000167769,alkaline ceramidase 1 [Source:HGNC Symbol;Acc:HGNC:18356],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000167769
ACER2,ENSG00000177076,alkaline ceramidase 2 [Source:HGNC Symbol;Acc:HGNC:23675],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000177076
ACER3,ENSG00000078124,alkaline ceramidase 3 [Source:HGNC Symbol;Acc:HGNC:16066],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000078124
ACKR1,ENSG00000213088,atypical chemokine receptor 1 (Duffy blood group) [Source:HGNC Symbol;Acc:HGNC:4035],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000213088
ACKR2,ENSG00000144648,atypical chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1565],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000144648
ACKR4,ENSG00000129048,atypical chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1611],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000129048
ACLY,ENSG00000131473,ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000131473
ACMSD,ENSG00000153086,aminocarboxymuconate semialdehyde decarboxylase [Source:HGNC Symbol;Acc:HGNC:19288],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000153086
ACO1,ENSG00000122729,aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000122729
ACOT1,ENSG00000184227,acyl-CoA thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:33128],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000184227
ACOT11,ENSG00000162390,acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000162390
ACOT12,ENSG00000172497,acyl-CoA thioesterase 12 [Source:HGNC Symbol;Acc:HGNC:24436],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000172497
ACOT13,ENSG00000112304,acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000112304
ACOT2,ENSG00000119673,acyl-CoA thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:18431],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000119673
ACOT4,ENSG00000177465,acyl-CoA thioesterase 4 [Source:HGNC Symbol;Acc:HGNC:19748],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000177465
ACOT6,ENSG00000205669,acyl-CoA thioesterase 6 [Source:HGNC Symbol;Acc:HGNC:33159],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000205669
ACOT7,ENSG00000097021,acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000097021
ACOT8,ENSG00000101473,acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000101473
ACOT9,ENSG00000123130,acyl-CoA thioesterase 9 [Source:HGNC Symbol;Acc:HGNC:17152],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000123130
ACOX2,ENSG00000168306,acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000168306
ACOX3,ENSG00000087008,"acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:HGNC:121]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000087008
ACOXL-AS1,ENSG00000204581,ACOXL antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41112],lncRNA,homo_sapiens,https://www.ensembl.org/id/ENSG00000204581
ACP1,ENSG00000143727,acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000143727
ACP3,ENSG00000014257,acid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:125],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000014257
ACP5,ENSG00000102575,"acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000102575
ACP6,ENSG00000162836,"acid phosphatase 6, lysophosphatidic [Source:HGNC Symbol;Acc:HGNC:29609]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000162836
ACP7,ENSG00000183760,"acid phosphatase 7, tartrate resistant (putative) [Source:HGNC Symbol;Acc:HGNC:33781]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000183760
ACRV1,ENSG00000134940,acrosomal vesicle protein 1 [Source:HGNC Symbol;Acc:HGNC:127],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000134940
ACSBG1,ENSG00000103740,acyl-CoA synthetase bubblegum family member 1 [Source:HGNC Symbol;Acc:HGNC:29567],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000103740
ACSBG2,ENSG00000130377,acyl-CoA synthetase bubblegum family member 2 [Source:HGNC Symbol;Acc:HGNC:24174],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000130377
ACSF2,ENSG00000167107,acyl-CoA synthetase family member 2 [Source:HGNC Symbol;Acc:HGNC:26101],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000167107
ACSF3,ENSG00000176715,acyl-CoA synthetase family member 3 [Source:HGNC Symbol;Acc:HGNC:27288],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000176715
ACSL5,ENSG00000197142,acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000197142
ACSL6,ENSG00000164398,acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000164398
ACSM1,ENSG00000166743,acyl-CoA synthetase medium chain family member 1 [Source:HGNC Symbol;Acc:HGNC:18049],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000166743
ACSM5,ENSG00000183549,acyl-CoA synthetase medium chain family member 5 [Source:HGNC Symbol;Acc:HGNC:26060],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000183549
ACSS2,ENSG00000131069,acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000131069
ACSS3,ENSG00000111058,acyl-CoA synthetase short chain family member 3 [Source:HGNC Symbol;Acc:HGNC:24723],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000111058
ACTA1,ENSG00000143632,"actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000143632
ACTA2,ENSG00000107796,"actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000107796
ACTB,ENSG00000075624,actin beta [Source:HGNC Symbol;Acc:HGNC:132],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000075624
ACTBL2,ENSG00000169067,actin beta like 2 [Source:HGNC Symbol;Acc:HGNC:17780],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000169067
ACTC1,ENSG00000159251,actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000159251
ACTG1,ENSG00000184009,actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000184009
ACTG1P17,ENSG00000259315,actin gamma 1 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:51497],transcribed_processed_pseudogene,homo_sapiens,https://www.ensembl.org/id/ENSG00000259315
ACTG2,ENSG00000163017,"actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000163017
ACTL6A,ENSG00000136518,actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000136518
ACTL6B,ENSG00000077080,actin like 6B [Source:HGNC Symbol;Acc:HGNC:160],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000077080
ACTL7B,ENSG00000148156,actin like 7B [Source:HGNC Symbol;Acc:HGNC:162],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000148156
ACTL8,ENSG00000117148,actin like 8 [Source:HGNC Symbol;Acc:HGNC:24018],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000117148
ACTN2,ENSG00000077522,actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000077522
ACTN4,ENSG00000130402,actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000130402
ACTR10,ENSG00000131966,actin related protein 10 [Source:HGNC Symbol;Acc:HGNC:17372],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000131966
ACTR1A,ENSG00000138107,actin related protein 1A [Source:HGNC Symbol;Acc:HGNC:167],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000138107
ACTR1B,ENSG00000115073,actin related protein 1B [Source:HGNC Symbol;Acc:HGNC:168],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000115073
ACTR3,ENSG00000115091,actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000115091
ACTR3B,ENSG00000133627,actin related protein 3B [Source:HGNC Symbol;Acc:HGNC:17256],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000133627
ACTR6,ENSG00000075089,actin related protein 6 [Source:HGNC Symbol;Acc:HGNC:24025],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000075089
ACTR8,ENSG00000113812,actin related protein 8 [Source:HGNC Symbol;Acc:HGNC:14672],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000113812
ACTRT1,ENSG00000123165,actin related protein T1 [Source:HGNC Symbol;Acc:HGNC:24027],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000123165
ACTRT2,ENSG00000169717,actin related protein T2 [Source:HGNC Symbol;Acc:HGNC:24026],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000169717
ACTRT3,ENSG00000184378,actin related protein T3 [Source:HGNC Symbol;Acc:HGNC:24022],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000184378
ACVR1,ENSG00000115170,activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000115170
ACVR1B,ENSG00000135503,activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000135503
ACVR1C,ENSG00000123612,activin A receptor type 1C [Source:HGNC Symbol;Acc:HGNC:18123],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000123612
ACVR2A,ENSG00000121989,activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000121989
ACVR2B,ENSG00000114739,activin A receptor type 2B [Source:HGNC Symbol;Acc:HGNC:174],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000114739
ACVRL1,ENSG00000139567,activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000139567
ACY1,ENSG00000243989,aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000243989
ACY3,ENSG00000132744,aminoacylase 3 [Source:HGNC Symbol;Acc:HGNC:24104],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000132744
ACYP1,ENSG00000119640,acylphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:179],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000119640
ACYP2,ENSG00000170634,acylphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:180],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000170634
ADA,ENSG00000196839,adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000196839
