Metadata_JCP2022,Metadata_broad_sample,Metadata_Name,Metadata_Vector,Metadata_Transcript,l,Metadata_NCBI_Gene_ID,Metadata_Taxon_ID,Metadata_Gene_Description,Metadata_Prot_Match,Metadata_Insert_Length,Metadata_pert_type
JCP2022_900056,ccsbBroad304_00062,ORF000786.1_TRC304.1,pLX_304,NM_020547.3,AMHR2,269,9606,anti-Mullerian hormone receptor type 2,100,1719,trt
JCP2022_900057,ccsbBroad304_00063,ORF009180.1_TRC304.1,pLX_304,NM_139156.3,AMPD2,271,9606,adenosine monophosphate deaminase 2,100,2394,trt
JCP2022_900058,ccsbBroad304_00064,ORF010307.1_TRC304.1,pLX_304,NM_000480.3,AMPD3,272,9606,adenosine monophosphate deaminase 3,100,2328,trt
JCP2022_900059,ccsbBroad304_00065,ORF011871.1_TRC304.1,pLX_304,NM_000699.3,AMY2A,279,9606,amylase alpha 2A,100,1533,trt
JCP2022_900060,ccsbBroad304_00066,ORF018355.1_TRC304.1,pLX_304,NM_001145.4,ANG,283,9606,angiogenin,100,441,trt
JCP2022_900061,ccsbBroad304_00067,ORF009750.1_TRC304.1,pLX_304,NM_001151.4,SLC25A4,291,9606,solute carrier family 25 member 4,100,894,trt
JCP2022_900062,ccsbBroad304_00068,ORF015208.1_TRC304.1,pLX_304,NM_001636.4,SLC25A6,293,9606,solute carrier family 25 member 6,100,894,trt
JCP2022_900063,ccsbBroad304_00069,ORF005433.1_TRC304.1,pLX_304,NM_001153.5,ANXA4,307,9606,annexin A4,100,963,trt
JCP2022_900064,ccsbBroad304_00070,ORF002876.1_TRC304.1,pLX_304,NM_001154.4,ANXA5,308,9606,annexin A5,100,960,trt
JCP2022_900065,ccsbBroad304_00071,ORF013800.1_TRC304.1,pLX_304,NM_001155.5,ANXA6,309,9606,annexin A6,100,2019,trt
JCP2022_900066,ccsbBroad304_00072,ORF005522.1_TRC304.1,pLX_304,NM_001156.5,ANXA7,310,9606,annexin A7,100,1398,trt
JCP2022_900067,ccsbBroad304_00073,ORF000202.1_TRC304.1,pLX_304,NM_001278408.1,ANXA11,311,9606,annexin A11,100,1515,trt
JCP2022_900068,ccsbBroad304_00075,ORF015244.1_TRC304.1,pLX_304,NM_001638.4,APOF,319,9606,apolipoprotein F,100,978,trt
JCP2022_900069,ccsbBroad304_00076,ORF002741.1_TRC304.1,pLX_304,NM_145689.3,APBB1,322,9606,amyloid beta precursor protein binding family B member 1,100,2124,trt
JCP2022_900070,ccsbBroad304_00077,ORF008858.1_TRC304.1,pLX_304,NM_080648.3,APEX1,328,9606,apurinic/apyrimidinic endodeoxyribonuclease 1,100,954,trt
JCP2022_900071,ccsbBroad304_00078,ORF014189.1_TRC304.1,pLX_304,NM_001256163.1,BIRC2,329,9606,baculoviral IAP repeat containing 2,70,1853,trt
JCP2022_900072,ccsbBroad304_00079,ORF014132.1_TRC304.1,pLX_304,NM_000039.2,APOA1,335,9606,apolipoprotein A1,100,801,trt
JCP2022_900073,ccsbBroad304_00080,ORF000608.1_TRC304.1,pLX_304,NM_001643.2,APOA2,336,9606,apolipoprotein A2,100,300,trt
JCP2022_900074,ccsbBroad304_00081,ORF012080.1_TRC304.1,pLX_304,NM_000040.3,APOC3,345,9606,apolipoprotein C3,100,297,trt
JCP2022_900075,ccsbBroad304_00082,ORF003048.1_TRC304.1,pLX_304,NM_001646.3,APOC4,346,9606,apolipoprotein C4,100,381,trt
JCP2022_900076,ccsbBroad304_00083,ORF006832.1_TRC304.1,pLX_304,NM_001647.4,APOD,347,9606,apolipoprotein D,100,567,trt
JCP2022_900077,ccsbBroad304_00084,ORF011824.1_TRC304.1,pLX_304,NM_000042.3,APOH,350,9606,apolipoprotein H,100,1035,trt
JCP2022_900078,ccsbBroad304_00085,ORF003821.1_TRC304.1,pLX_304,NM_000485.3,APRT,353,9606,adenine phosphoribosyltransferase,100,540,trt
JCP2022_900079,ccsbBroad304_00086,ORF003365.1_TRC304.1,pLX_304,NM_001648.2,KLK3,354,9606,kallikrein related peptidase 3,100,783,trt
JCP2022_900080,ccsbBroad304_00087,ORF002773.1_TRC304.1,pLX_304,NM_152871.4,FAS,355,9606,Fas cell surface death receptor,29.9,907,trt
JCP2022_900081,ccsbBroad304_00088,ORF008886.1_TRC304.1,pLX_304,NM_000639.3,FASLG,356,9606,Fas ligand,100,843,trt
JCP2022_900082,ccsbBroad304_00089,ORF005104.1_TRC304.1,pLX_304,NM_004925.5,AQP3,360,9606,aquaporin 3 (Gill blood group),100,876,trt
JCP2022_900083,ccsbBroad304_00090,ORF011555.1_TRC304.1,pLX_304,NM_001650.7,AQP4,361,9606,aquaporin 4,100,969,trt
JCP2022_900084,ccsbBroad304_00091,ORF014376.1_TRC304.1,pLX_304,NM_001651.4,AQP5,362,9606,aquaporin 5,100,795,trt
JCP2022_900085,ccsbBroad304_00092,ORF000011.1_TRC304.1,pLX_304,NM_001656.4,TRIM23,373,9606,tripartite motif containing 23,100,1722,trt
JCP2022_900086,ccsbBroad304_00093,ORF001516.1_TRC304.1,pLX_304,NM_001657.4,AREG,374,9606,amphiregulin,100,756,trt
JCP2022_900087,ccsbBroad304_00094,ORF011051.1_TRC304.1,pLX_304,NM_001024227.1,ARF1,375,9606,ADP ribosylation factor 1,100,543,trt
JCP2022_900088,ccsbBroad304_00095,ORF004448.1_TRC304.1,pLX_304,NM_001659.3,ARF3,377,9606,ADP ribosylation factor 3,100,543,trt
JCP2022_900089,ccsbBroad304_00096,ORF009760.1_TRC304.1,pLX_304,NM_001662.4,ARF5,381,9606,ADP ribosylation factor 5,100,540,trt
JCP2022_900090,ccsbBroad304_00097,ORF002677.1_TRC304.1,pLX_304,NM_001663.4,ARF6,382,9606,ADP ribosylation factor 6,100,525,trt
JCP2022_900091,ccsbBroad304_00098,ORF009363.1_TRC304.1,pLX_304,NM_000045.4,ARG1,383,9606,arginase 1,100,966,trt
JCP2022_900092,ccsbBroad304_00099,ORF007016.1_TRC304.1,pLX_304,NM_001172.4,ARG2,384,9606,arginase 2,100,1062,trt
JCP2022_900093,ccsbBroad304_00100,ORF009273.1_TRC304.1,pLX_304,NM_001313941.2,RHOA,387,9606,ras homolog family member A,100,579,trt
JCP2022_900094,ccsbBroad304_00101,ORF014338.1_TRC304.1,pLX_304,NM_175744.4,RHOC,389,9606,ras homolog family member C,100,579,trt
JCP2022_900095,ccsbBroad304_00102,ORF001226.1_TRC304.1,pLX_304,NM_001254738.1,RND3,390,9606,Rho family GTPase 3,100,732,trt
JCP2022_900096,ccsbBroad304_00103,ORF011151.1_TRC304.1,pLX_304,NM_001278369.1,RHOH,399,9606,ras homolog family member H,100,573,trt
JCP2022_900097,ccsbBroad304_00104,ORF003603.1_TRC304.1,pLX_304,NM_001667.4,ARL2,402,9606,ADP ribosylation factor like GTPase 2,100,552,trt
JCP2022_900098,ccsbBroad304_00105,ORF005891.1_TRC304.1,pLX_304,NM_001178.5,ARNTL,406,9606,aryl hydrocarbon receptor nuclear translocator like,100,1875,trt
JCP2022_900099,ccsbBroad304_00106,ORF009723.1_TRC304.1,pLX_304,NM_004041.5,ARRB1,408,9606,arrestin beta 1,100,1254,trt
JCP2022_900100,ccsbBroad304_00107,ORF008694.1_TRC304.1,pLX_304,NM_004314.3,ART1,417,9606,ADP-ribosyltransferase 1,100,981,trt
JCP2022_900101,ccsbBroad304_00108,ORF001091.1_TRC304.1,pLX_304,NM_001179.5,ART3,419,9606,ADP-ribosyltransferase 3,100,1134,trt
JCP2022_900102,ccsbBroad304_00109,ORF013765.1_TRC304.1,pLX_304,NM_001671.5,ASGR1,432,9606,asialoglycoprotein receptor 1,100,873,trt
JCP2022_900103,ccsbBroad304_00110,ORF016128.1_TRC304.1,pLX_304,NM_080913.3,ASGR2,433,9606,asialoglycoprotein receptor 2,100,861,trt
JCP2022_900104,ccsbBroad304_00111,ORF013336.1_TRC304.1,pLX_304,NM_001672.2,ASIP,434,9606,agouti signaling protein,100,396,trt
JCP2022_900105,ccsbBroad304_00112,ORF003145.1_TRC304.1,pLX_304,NM_004317.4,GET3,439,9606,"guided entry of tail-anchored proteins factor 3, ATPase",100,1044,trt
JCP2022_900106,ccsbBroad304_00113,ORF017646.1_TRC304.1,pLX_304,NM_183356.3,ASNS,440,9606,asparagine synthetase (glutamine-hydrolyzing),100,1683,trt
JCP2022_900107,ccsbBroad304_00115,ORF017521.1_TRC304.1,pLX_304,NM_001164755.2,ASPH,444,9606,aspartate beta-hydroxylase,100,810,trt
JCP2022_900108,ccsbBroad304_00116,ORF018141.1_TRC304.1,pLX_304,NM_000050.4,ASS1,445,9606,argininosuccinate synthase 1,100,1236,trt
JCP2022_900109,ccsbBroad304_00117,ORF009152.1_TRC304.1,pLX_304,NM_001675.4,ATF4,468,9606,activating transcription factor 4,100,1053,trt
JCP2022_900110,ccsbBroad304_00118,ORF018009.1_TRC304.1,pLX_304,NM_004044.7,ATIC,471,9606,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,100,1776,trt
JCP2022_900111,ccsbBroad304_00119,ORF013798.1_TRC304.1,pLX_304,NM_005172.2,ATOH1,474,9606,atonal bHLH transcription factor 1,100,1062,trt
JCP2022_900112,ccsbBroad304_00120,ORF003623.1_TRC304.1,pLX_304,NM_004045.4,ATOX1,475,9606,antioxidant 1 copper chaperone,100,204,trt
JCP2022_900113,ccsbBroad304_00121,ORF014101.1_TRC304.1,pLX_304,NM_001001734.1,ATP1A4,480,9606,ATPase Na+/K+ transporting subunit alpha 4,100,495,trt
JCP2022_900114,ccsbBroad304_00122,ORF008027.1_TRC304.1,pLX_304,NM_001677.4,ATP1B1,481,9606,ATPase Na+/K+ transporting subunit beta 1,100,909,trt
JCP2022_900115,ccsbBroad304_00123,ORF001613.1_TRC304.1,pLX_304,NM_001678.5,ATP1B2,482,9606,ATPase Na+/K+ transporting subunit beta 2,100,870,trt
JCP2022_900116,ccsbBroad304_00124,ORF017858.1_TRC304.1,pLX_304,NM_001679.4,ATP1B3,483,9606,ATPase Na+/K+ transporting subunit beta 3,100,837,trt
JCP2022_900117,ccsbBroad304_00125,ORF001550.1_TRC304.1,pLX_304,NM_021603.4,FXYD2,486,9606,FXYD domain containing ion transport regulator 2,100,192,trt
JCP2022_900118,ccsbBroad304_00126,ORF012211.1_TRC304.1,pLX_304,NM_001001937.1,ATP5F1A,498,9606,ATP synthase F1 subunit alpha,100,1659,trt
JCP2022_900119,ccsbBroad304_00127,ORF015531.1_TRC304.1,pLX_304,NM_001686.4,ATP5F1B,506,9606,ATP synthase F1 subunit beta,100,1587,trt
JCP2022_900120,ccsbBroad304_00129,ORF018247.1_TRC304.1,pLX_304,NM_001687.5,ATP5F1D,513,9606,ATP synthase F1 subunit delta,100,504,trt
JCP2022_900121,ccsbBroad304_00130,ORF010994.1_TRC304.1,pLX_304,NM_001688.5,ATP5PB,515,9606,ATP synthase peripheral stalk-membrane subunit b,100,768,trt
JCP2022_900122,ccsbBroad304_00131,ORF007431.1_TRC304.1,pLX_304,NM_001689.5,ATP5MC3,518,9606,ATP synthase membrane subunit c locus 3,100,426,trt
JCP2022_900123,ccsbBroad304_00132,ORF005204.1_TRC304.1,pLX_304,NM_007100.4,ATP5ME,521,9606,ATP synthase membrane subunit e,100,207,trt
JCP2022_900124,ccsbBroad304_00133,ORF010770.1_TRC304.1,pLX_304,NM_001003696.1,ATP5PF,522,9606,ATP synthase peripheral stalk subunit F6,100,324,trt
JCP2022_900125,ccsbBroad304_00134,ORF012732.1_TRC304.1,pLX_304,NM_001693.4,ATP6V1B2,526,9606,ATPase H+ transporting V1 subunit B2,100,1533,trt
JCP2022_900126,ccsbBroad304_00135,ORF003246.1_TRC304.1,pLX_304,NM_001198569.1,ATP6V0C,527,9606,ATPase H+ transporting V0 subunit c,100,465,trt
JCP2022_900127,ccsbBroad304_00136,ORF016386.1_TRC304.1,pLX_304,NM_001695.5,ATP6V1C1,528,9606,ATPase H+ transporting V1 subunit C1,99.7,1145,trt
JCP2022_900128,ccsbBroad304_00137,ORF015876.1_TRC304.1,pLX_304,NM_001696.4,ATP6V1E1,529,9606,ATPase H+ transporting V1 subunit E1,100,678,trt
JCP2022_900129,ccsbBroad304_00138,ORF013847.1_TRC304.1,pLX_304,NM_004047.5,ATP6V0B,533,9606,ATPase H+ transporting V0 subunit b,100,615,trt
JCP2022_900130,ccsbBroad304_00139,ORF002358.1_TRC304.1,pLX_304,NM_130463.4,ATP6V1G2,534,9606,ATPase H+ transporting V1 subunit G2,100,354,trt
JCP2022_900131,ccsbBroad304_00140,ORF008387.1_TRC304.1,pLX_304,NM_001130021.2,ATP6V0A1,535,9606,ATPase H+ transporting V0 subunit a1,100,2511,trt
JCP2022_900132,ccsbBroad304_00141,ORF005053.1_TRC304.1,pLX_304,NM_000490.5,AVP,551,9606,arginine vasopressin,100,492,trt
JCP2022_900133,ccsbBroad304_00142,ORF015568.1_TRC304.1,pLX_304,NM_000706.5,AVPR1A,552,9606,arginine vasopressin receptor 1A,100,1254,trt
JCP2022_900134,ccsbBroad304_00143,ORF001336.1_TRC304.1,pLX_304,NM_001700.5,AZU1,566,9606,azurocidin 1,100,753,trt
JCP2022_900135,ccsbBroad304_00144,ORF009628.1_TRC304.1,pLX_304,NM_004048.3,B2M,567,9606,beta-2-microglobulin,100,357,trt
JCP2022_900136,ccsbBroad304_00145,ORF009233.1_TRC304.1,pLX_304,NM_001186.4,BACH1,571,9606,BTB domain and CNC homolog 1,100,2208,trt
JCP2022_900137,ccsbBroad304_00146,ORF006959.1_TRC304.1,pLX_304,NM_004322.3,BAD,572,9606,BCL2 associated agonist of cell death,100,504,trt
JCP2022_900138,ccsbBroad304_00147,ORF002579.1_TRC304.1,pLX_304,NM_001349286.2,BAG1,573,9606,BAG cochaperone 1,100,822,trt
JCP2022_900139,ccsbBroad304_00148,ORF011664.1_TRC304.1,pLX_304,NM_001187.1,BAGE,574,9606,B melanoma antigen,100,129,trt
JCP2022_900140,ccsbBroad304_00150,ORF017345.1_TRC304.1,pLX_304,NM_138761.4,BAX,581,9606,"BCL2 associated X, apoptosis regulator",100,576,trt
JCP2022_900141,ccsbBroad304_00151,ORF005030.1_TRC304.1,pLX_304,NM_024649.5,BBS1,582,9606,Bardet-Biedl syndrome 1,100,1779,trt
JCP2022_900142,ccsbBroad304_00152,ORF004655.1_TRC304.1,pLX_304,NM_001190.4,BCAT2,587,9606,branched chain amino acid transaminase 2,100,1176,trt
JCP2022_900143,ccsbBroad304_00153,ORF016996.1_TRC304.1,pLX_304,NM_000055.4,BCHE,590,9606,butyrylcholinesterase,100,1806,trt
JCP2022_900144,ccsbBroad304_00154,ORF007539.1_TRC304.1,pLX_304,NM_000056.4,BCKDHB,594,9606,branched chain keto acid dehydrogenase E1 subunit beta,100,1176,trt
JCP2022_900145,ccsbBroad304_00155,ORF015238.1_TRC304.1,pLX_304,NM_053056.3,CCND1,595,9606,cyclin D1,100,885,trt
JCP2022_900146,ccsbBroad304_00156,ORF017908.1_TRC304.1,pLX_304,NM_001317921.2,BCL2L1,598,9606,BCL2 like 1,100,699,trt
JCP2022_900147,ccsbBroad304_00157,ORF016656.1_TRC304.1,pLX_304,NM_020993.5,BCL7A,605,9606,BAF chromatin remodeling complex subunit BCL7A,100,693,trt
JCP2022_900148,ccsbBroad304_00158,ORF001797.1_TRC304.1,pLX_304,NM_001374085.1,BCS1L,617,9606,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",100,1257,trt
JCP2022_900149,ccsbBroad304_00159,ORF005340.1_TRC304.1,pLX_304,NM_203315.2,BDH1,622,9606,3-hydroxybutyrate dehydrogenase 1,100,1029,trt
JCP2022_900150,ccsbBroad304_00160,ORF012329.1_TRC304.1,pLX_304,NM_199173.6,BGLAP,632,9606,bone gamma-carboxyglutamate protein,100,300,trt
JCP2022_900151,ccsbBroad304_00161,ORF008751.1_TRC304.1,pLX_304,NM_001244567.1,BID,637,9606,BH3 interacting domain death agonist,100,585,trt
JCP2022_900152,ccsbBroad304_00162,ORF012397.1_TRC304.1,pLX_304,NM_001197.5,BIK,638,9606,BCL2 interacting killer,100,480,trt
JCP2022_900153,ccsbBroad304_00163,ORF009493.1_TRC304.1,pLX_304,NM_182907.3,PRDM1,639,9606,PR/SET domain 1,100,2073,trt
JCP2022_900154,ccsbBroad304_00164,ORF007308.1_TRC304.1,pLX_304,NM_000386.4,BLMH,642,9606,bleomycin hydrolase,100,1365,trt
JCP2022_900155,ccsbBroad304_00165,ORF012289.1_TRC304.1,pLX_304,NM_005180.9,BMI1,648,9606,"BMI1 proto-oncogene, polycomb ring finger",100,978,trt
JCP2022_900156,ccsbBroad304_00166,ORF016496.1_TRC304.1,pLX_304,NM_021073.4,BMP5,653,9606,bone morphogenetic protein 5,100,1362,trt
JCP2022_900157,ccsbBroad304_00168,ORF013703.1_TRC304.1,pLX_304,NM_001256792.1,BMPR1B,658,9606,bone morphogenetic protein receptor type 1B,100,1506,trt
JCP2022_900158,ccsbBroad304_00169,ORF016609.1_TRC304.1,pLX_304,NM_001204.7,BMPR2,659,9606,bone morphogenetic protein receptor type 2,100,3114,trt
JCP2022_900159,ccsbBroad304_00170,ORF000358.1_TRC304.1,pLX_304,NM_001205.3,BNIP1,662,9606,BCL2 interacting protein 1,100,684,trt
JCP2022_900160,ccsbBroad304_00171,ORF009509.1_TRC304.1,pLX_304,NM_004331.3,BNIP3L,665,9606,BCL2 interacting protein 3 like,100,657,trt
JCP2022_900161,ccsbBroad304_00172,ORF011123.1_TRC304.1,pLX_304,NM_199186.2,BPGM,669,9606,bisphosphoglycerate mutase,100,777,trt
JCP2022_900162,ccsbBroad304_00173,ORF017723.1_TRC304.1,pLX_304,NM_007299.4,BRCA1,672,9606,BRCA1 DNA repair associated,100,2097,trt
JCP2022_900163,ccsbBroad304_00175,ORF016490.1_TRC304.1,pLX_304,NM_001244698.1,ZFP36L1,677,9606,ZFP36 ring finger protein like 1,100,1014,trt
JCP2022_900164,ccsbBroad304_00176,ORF011920.1_TRC304.1,pLX_304,NM_004335.4,BST2,684,9606,bone marrow stromal cell antigen 2,100,540,trt
JCP2022_900165,ccsbBroad304_00177,ORF000046.1_TRC304.1,pLX_304,NM_001323582.1,BTD,686,9606,biotinidase,96.3,1629,trt
JCP2022_900166,ccsbBroad304_00178,ORF003647.1_TRC304.1,pLX_304,NM_001207.4,BTF3,689,9606,basic transcription factor 3,100,486,trt
